序号,异常行为分类,,,,,可选风险等级,排查阶段,,核实阶段
62,经济行为类,个人交易异常,员工个人账户交易备注包含明显特殊敏感字眼,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,通过规则定期排查员工账户的交易情况，包括交易金额、交易对手、交易频率、交易备注信息等数据，形成异常员工行为名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
63,经济行为类,个人交易异常,员工个人账户多笔交易金额一致或相近,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,通过规则定期排查员工账户的交易情况，包括交易金额、交易对手、交易频率等数据，形成异常员工行为名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
64,经济行为类,个人交易异常,员工个人账户多笔交易金额意图规避大额审查,例如：贴近五万整额，或频繁出现带特定尾数的金额,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,排查员工账户的交易金额规模，重点关注贴近五万整额，或频繁出现带特定尾数的金额的员工。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
65,经济行为类,个人交易异常,员工个人账户频繁、大额跨行进账与出账,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,通过规则定期排查员工账户的交易情况，包括交易金额、交易对手、交易频率等数据，形成异常员工行为名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
66,经济行为类,个人交易异常,员工与同一商户高频、大额或整额交易,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,通过规则定期排查员工账户的交易情况，包括交易金额、交易对手、交易频率等数据，形成异常员工行为名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
67,经济行为类,个人信贷异常,个人负债（剔除房、车贷）数目较大,例如当月除住房贷款、汽车贷款、花呗外贷款余额>=50万元的员工，视所处地区、个人收入等实际情况判断。,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,当月除住房贷款、汽车贷款、花呗外贷款余额>=50万元的员工，视所处地区、个人收入等实际情况判断。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
68,经济行为类,个人信贷异常,个人贷款逾期,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,"1.筛选截至本月信用卡已超过规定期限仍不还款的员工，或筛选本月发生贷款逾期的员工，并细分违规类型：信用卡透支、贷款逾期；
2.通过法院“被执行人信息平台”和“中国执行信息公开网”查看失信人名单。",被查询人可提供个人征信报告
69,经济行为类,个人信贷异常,员工进行经营性贷款,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,通过规则定期排查员工账户的交易情况，包括交易金额、交易对手、交易频率、交易备注信息等数据，形成异常员工行为名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
70,经济行为类,个人信贷异常,多头借贷,90天内实际放款机构>=3家,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,90天内实际放款机构>=3家,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
71,经济行为类,个人信贷异常,信用卡恶意透支,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,通过规则定期排查员工账户的交易情况，包括交易金额、交易对手、交易频率、交易备注信息等数据，形成异常员工行为名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
72,经济行为类,个人信贷异常,个人征信评分不佳,根据征信评分信息中“相对位置”字段，员工的征信个人信用评分的分值在总体评分人群中的位置较低,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,根据征信评分信息中“相对位置”字段，员工的征信个人信用评分的分值在总体评分人群中的位置较低。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
73,经济行为类,个人信贷异常,员工公共缴费业务大额欠费,筛选欠费情况且欠费总金额>5000元的员工（目前包括电信业务、公共事业缴费业务的欠费信息）,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,筛选欠费情况且欠费总金额>5000元的员工（目前包括电信业务、公共事业缴费业务的欠费信息）,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
74,经济行为类,个人信贷异常,员工个人贷款用途与实际不符,,可疑/异常行为,较高/中/较低,个人异常行为事项报送及签署授权书,查阅个人流水,
75,经济行为类,个人账户异常,员工手机号关联其他对私客户账户,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,筛选员工名下关联的其他账号，筛选出账号名称非本人的情况，生成异常员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
76,经济行为类,个人账户异常,员工非工资卡账户突然启用，活跃期短并发生大额交易,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,通过规则定期排查员工账户的交易情况，包括交易金额、交易对手、交易频率、交易备注信息等数据，结合账户活跃情况，形成异常员工行为名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
77,经济行为类,个人账户异常,违规出借本人或使用他人银行账户,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"1.资金流向分析：获取员工个人银行账户的交易流水记录，仔细分析资金的来源和去向。
2.交易对手调查：对账户交易中的对手方进行调查。检查交易对手是否为行内禁止关联的对象，如与银行有竞争关系的企业、未经授权的金融机构等。
3.交易类型和频率分析：分析账户交易的类型，如转账、取现、消费等。注意是否存在异常的交易类型，如频繁的大额取现可能用于一些不正当的现金交易。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
78,经济行为类,其他经济行为类,存在其他经济行为类不良行为,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,通过行内定期排查，筛选出异常行为员工名单,家访、暗访、员工谈心
79,业务操作类,违规销售,开展未经监管机构或所在机构批准的金融业务,,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
80,业务操作类,违规销售,销售、推介或代销未经本行批准的任何金融产品和服务,,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
81,业务操作类,违规销售,针对特定客户非公开销售优于其他同类客户的各类金融产品,产品包括存款产品、贷款产品、基金产品、信托产品、理财产品等,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
82,业务操作类,违规销售,未严格落实销售专区录音录像等监管要求,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
83,业务操作类,违规销售,其他未切实保护客户权益的行为,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
84,业务操作类,违规销售,未按照规定以明确的、足以让客户注意的方式向其充分提示必要信息,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
85,业务操作类,违规销售,未对所推荐的产品及服务的特点和涉及到的各类风险进行如实充分的提示,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
86,业务操作类,违规销售,未按照规定对客户进行风险评级,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
87,业务操作类,违规销售,向客户推销与其风险承受能力不相匹配的产品及服务,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
88,业务操作类,违规销售,为达成交易而采取隐瞒风险、进行虚假或误导性陈述等不正当手段,,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
89,业务操作类,违规销售,向客户做出不符合法律法规及有关规章制度的承诺或保证,,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
90,业务操作类,违规销售,向客户明示或暗示诱导客户规避金融、外汇监管规定,,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
91,业务操作类,违规收费,违规收取费用,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,通过员工账户交易记录，筛选“交易附言”中包含“手续费”“顾问费”“服务费”等关键字的记录。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
92,业务操作类,违规收费,挂单套利,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"1.交易数据监测：审查交易系统中的订单记录，包括买入和卖出订单，关注短时间内频繁的、金额相近且方向相反的订单，关注非交易高峰期的交易活动，对比员工交易的订单规模与市场正常交易规模。
2.检查员工是否有多个关联账户或与公司内部其他可疑账户（如已经被标记为高风险或有异常交易历史的账户）之间存在关联交易。",与员工本人沟通，要求员工提供其交易策略的说明和依据，如果某个员工无法清晰合理地解释其交易策略，或者其交易策略明显与公司的投资理念、风险控制要求不符，且呈现出挂单套利的典型特征（如频繁利用价格差价、交易频率高等），需深入调查。
93,业务操作类,违规交易,个人同客户之间有买卖、租赁行为,,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,"1.查询财务记录：通过审查银行员工的个人银行账户流水，查看是否存在与客户的异常资金往来。
2.行为模式分析‌：通过统计分析员工的日常操作行为，找出潜在的异常行为。例如，某员工在非工作时间频繁登录系统或在短时间内访问大量敏感数据等。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
94,业务操作类,违规交易,个人账户与客户发生不当资金往来,,可疑/异常行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,要求被查询人提供相应银行对账单,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
95,业务操作类,违规交易,利用职务便利自行或通过近亲属以明显不合理的商业条件与本行进行交易,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"1.关注异常交易行为‌：密切关注员工的个人账户资金异常波动，若发现员工个人账户资金异常波动，应及时进行调查，防止利用职务便利进行不当交易‌。
2.亲属交易监控‌：重点关注员工主要亲属、关联交易人员间的转账业务，特别是大额交易和频繁交易，通过追踪多级账号筛选出问题疑点线索‌。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
96,业务操作类,违规交易,个人账户与非消费类商业实体企业账户发生资金往来,企业账户仅指以盈利为目的的商业实体，不包括医院、学校、公积金管理中心等非营利性机构或政府公共事务管理机构（从交易对手整白名单；规则里会看交易备注里看）,可疑/异常行为,中/较低/低,个人异常行为事项报送及签署授权书,通过规则定期排查员工账户的交易情况，包括交易金额、交易对手、交易频率、交易备注信息等数据，重点关注交易对手是否为实体企业账户，并形成异常员工行为名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
97,业务操作类,违规交易,涉嫌向民营、私营企业主等违规提供资金,,违规行为/可疑/异常行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,通过规则定期排查员工账户的交易情况，包括交易金额、交易对手、交易频率、交易备注信息等数据，重点关注交易对手是否为企业账户，并形成异常员工行为名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
98,业务操作类,违规管理,管理人员对员工合理诉求推诿扯皮、冷硬横推，漠视或侵害员工合法权益,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,收集反馈、举报信息；定期组织员工座谈会；检查管理人员的绩效评估指标中是否包含员工满意度、员工诉求处理效率等相关内容。若无，考虑将这些指标纳入绩效考核体系。,与本人沟通核实
99,业务操作类,违规管理,管理人员操纵本单位开展党和国家政策、法律、法规，监管部门及本行明令禁止的经营活动,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,定期查询监管部门发布的政策法规更新信息，并与行内的经营活动进行比对；定期检查管理层会议、业务决策会议等的会议记录。,与管理人员沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
100,业务操作类,违规管理,管理人员违反规定或民主决策原则和程序，决定本单位“三重一大”事项,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,定期审查 “三重一大” 决策制度，明确规定的决策流程、参与人员范围、表决方式等细节；对于重要项目安排和大额资金使用，调查项目相关的供应商、合作方等利益相关者。,与管理人员沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
101,业务操作类,违规管理,管理人员违反规定、审批程序或超越权限，干预正常经营管理活动,例如：干预或查收贷款审批、物质采购、基建工程、营业网点（办公用房）购置和装修、资产处置、商业广告等正常经营管理活动,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,定期检查业务审批记录，包括纸质审批单和电子审批系统中的记录。查看审批人的签名、审批时间、审批意见等信息。,与管理人员沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
102,业务操作类,违规管理,管理人员利用职务影响力干预人员招录、干部选拔任用工作,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,定期审查人员招录和干部选拔任用过程中的所有文件；对于招录的新员工和选拔任用的干部进行背景调查。,与管理人员沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
103,业务操作类,违规管理,管理人员擅自决定本级领导班子成员薪酬和福利待遇，或滥发津贴补贴,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,定期审查行内工资、奖金、津贴补贴和福利费用等的财务账目、检查薪酬福利发放相关的发票和凭证。,与管理人员沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
104,业务操作类,违规管理,管理人员违反财务制度，擅自调节收支形成虚假财务结果,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,定期核对不同账簿之间的数据一致性、检查财务报表与账簿记录的一致性。,与管理人员沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
105,业务操作类,违规管理,管理人员不履行或不正确履行职责，造成工作损失或不良影响,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,定期检查单位内部的文件收发记录、会议纪要等，看上级政策文件、工作部署要求是否及时、完整地传达给相关人员；对于重大决策，审查决策过程中的可行性研究报告、专家论证意见、风险评估报告、投票记录（如果是集体决策）等。,与管理人员沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
106,业务操作类,违规管理,管理人员发出违规指令、强迫他人违规操作和管理监督失职渎职,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,定期审查银行内部的各种指令传达渠道，如电子邮件、工作系统消息、纸质文件等，检查管理人员是否有发出明显违反公司规定、法律法规的指令；收集反馈、举报信息。,与管理人员沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
107,业务操作类,违规管理,管理人员违规上收员工绩效、奖金,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,检查涉及绩效奖金发放的所有文件，如绩效评估表、奖金计算明细、发放通知等。查看文件中的数据是否准确、合理，是否与绩效奖金制度相符合；定期排查和追踪绩效奖金资金的流向。,与管理人员沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
108,业务操作类,违规管理,管理人员包庇、纵容下属的违规行为,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,定期排查行内违规处理记录，包括书面警告、罚款记录、纪律处分会议纪要等。分析处理过程是否符合规定的程序，处罚是否公正合理。,与管理人员沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
109,业务操作类,违规管理,上级管理人员向下级员工提供或索取贷款,建议最高等级排查,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,定期审查员工银行流水和财务记录，排查异常的资金往来，如资金从上级管理层账户向员工账户的大额转账。,与管理人员沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
110,业务操作类,违规代理,代客保管重要单证、重要物品、重要资料和资金账户,客户包括亲属、家人朋友等,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,结合业务部门反馈的相关数据，定期获取异常行为员工名单。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
111,业务操作类,违规代理,代客办理开户、投资、理财、提现、购汇、缴费等各项业务,客户包括亲属、家人朋友等,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"通过行内系统排查员工账户的交易相关异常行为，规则包括：
（1）交易数据包含敏感字段；
且（2）交易前后有类似金额转入；
且（3）转入的交易对手非本人名称等。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
112,业务操作类,其他失范行为,默许、参与或支持客户用信贷资金进行违反信贷政策的投资行为,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,‌监控贷款资金用途‌：通过技术手段监控贷款资金的流向，具体方法包括设置自动监控系统、对贷款资金的流向进行实时跟踪和记录、通过收款账号监控资金流动等。,与员工本人沟通，核实其贷款用途，并要求员工提交证明其贷款用途的发票或相关凭证。
113,业务操作类,其他失范行为,掩饰客户风险信息,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,"1.重点岗位人员审查：对客户经理、理财经理、支行行长等关键岗位人员进行审查，排查是否存在擅自修改客户信息等行为。
2.客户信息真实性验证：定期或对客户信息进行全面核查，核实信息的真实性。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
114,业务操作类,其他失范行为,掩饰客户不实信息、编造虚假材料,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,"1.重点岗位人员审查：对客户经理、理财经理、支行行长等关键岗位人员进行审查，排查是否存在擅自修改客户信息等行为。
2.客户信息真实性验证：定期或对客户信息进行全面核查，核实信息的真实性。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
115,业务操作类,其他失范行为,隐瞒、掩盖重大业务差错和责任,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,通过建立有效的监控和审计机制，定期检查员工的业务操作和记录，包括定期的内部审计、随机抽查、关键业务环节的监控录像等，并对收集到的证据进行深入分析，核实其真实性和关联性。,根据收集的相关证据，与涉嫌隐瞒或掩盖的员工进行面谈，了解其行为动机和过程。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
116,业务操作类,其他失范行为,操纵或干预信贷调查、评估、担保、授信、审批及贷后管理工作,,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,定期评估信贷管理的各个环节，识别高风险行为，如过度借贷、高风险投资等。通过数据分析，识别员工潜在的操纵或干预行为‌。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
117,业务操作类,其他失范行为,利用职务便利为特定客户优于同等条件办理高端信用卡,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"‌1.审查员工的工作记录和客户信息‌：检查员工的工作记录，特别是与高端信用卡相关的部分。查看员工是否为特定客户提供了优于同等条件的服务，例如更高的信用额度、更长的免息期等。同时，审查客户信息，确认是否存在不合理的优惠或特殊待遇‌。
2.对比同等条件下的服务标准‌：将特定客户的信用卡服务与其他客户的标准进行对比，查看是否存在明显的不公平现象。例如，如果其他客户在同等条件下无法获得相同的优惠或服务，这可能表明员工利用了职务便利‌。
‌3.调查客户的反馈和投诉‌：收集客户的反馈和投诉信息，特别是那些涉及信用卡服务的投诉，排查是否存在特定客户频繁投诉或反馈服务不公平。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
118,业务操作类,其他失范行为,向下级单位推荐、推销与个人利益有关的各类工程、项目、商品、宣传品等,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"‌1.设立内部举报机制，定期查看和处理内部举报系统内的举报信息。
2.分析员工和下级单位相关账户的银行流水。寻找资金流向可疑的线索，比如是否有频繁的资金往来，或者是否存在员工账户收到来自下级单位员工或单位账户的款项，且这些款项的用途不明。
3.通过定期或不定期在工作场所的观察，留意员工的行为。例如，看是否有员工频繁向下级单位员工展示或介绍某些商品，或者是否有大量商品相关的宣传资料出现在工作区域。还可以观察员工之间的交流，是否存在暗示或引导购买商品的对话。",对下级单位员工进行随机访谈和问卷调查。询问他们是否遇到过上级银行员工推荐商品的情况，包括推荐的商品种类、频率、是否有强制购买的暗示等。
119,业务操作类,其他失范行为,未遵守有关履职回避制度要求,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"1.要求员工定期申报与亲属、朋友和商业合作伙伴之间可能存在的经济往来、合作关系等信息，并且定期更新申报内容。
2.定期对已完成的授信、资信调查、融资业务进行抽样检查。组建专门的检查小组，小组成员来自不同的部门，且与被检查业务无直接关联。检查小组重新审查业务档案，核对客户信息与员工申报的亲属和利益相关人信息。","1.员工访谈：与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
2.第三方渠道查询：利用外部数据库和信息平台，如企业信用信息网、法院裁判文书网等，核实客户与员工及其亲属之间是否存在经济或其他关联。"
120,业务操作类,其他失范行为,关键岗位人员未按规定落实轮岗或强制休假的,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"1.考勤记录审查：定期检查关键岗位员工的考勤记录，包括打卡记录、请假记录等。对比实际出勤情况与轮岗或强制休假计划，查看是否有员工未按照计划进行轮岗或休假。
2.业务操作记录追溯：检查业务操作记录，查看关键岗位员工在轮岗或强制休假期间是否有违规操作。例如，在强制休假期间，员工的账号是否仍有业务操作记录；在轮岗后，员工是否还在处理原岗位的业务。","1.将强制休假计划与员工的考勤记录（包括打卡记录、请假记录等）进行比对。
2.通过信息系统的访问日志，查看员工在强制休假期间是否有登录核心业务系统进行操作。"
121,业务操作类,其他失范行为,违规出借本人或使用他人系统账号的用户名和密码,系统帐号包括登录易点、京智等,违规行为,高/较高/中/较低,个人异常行为事项报送及签署授权书,"1.系统日志分析：通过分析系统日志，查看是否存在同一账号在短时间内从不同地点登录的情况。
2.权限使用频率检查：检查账号权限的使用频率，查看是否有账号使用了一些平时很少使用的权限。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
122,业务操作类,其他失范行为,违规考勤代打卡,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,通过定期审查考勤系统中的打卡时间记录、打卡设备、工作场所入口和打卡区域附近的监控视频等，排查可能存在的考勤代打卡行为。,与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
123,业务操作类,其他失范行为,利用职权和管理漏洞，篡改后台数据,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,"1.系统日志分析：通过分析系统日志，排查是否存在数据修改权限的关键用户的操作记录。
2.数据一致性监测：定期对重要数据进行备份，并将备份数据与当前系统中的数据进行对比。",与员工本人沟通，核实是否存在排查出的可疑行为，并明确其行为原因。被检查人需提供详细明确的说明，充分解释其异常行为的合理性。
124,业务操作类,其他失范行为,违规招投标,,违规行为,较高/中/较低,个人异常行为事项报送及签署授权书,"1.招标文档核对：重新审视招标项目的所有文件，包括招标公告、招标文件、投标文件、评标报告和合同文件等。检查这些文件是否完整、一致，是否存在篡改或隐瞒关键信息的情况。
2.审批与决策记录检查：检查招标过程中的审批记录，如项目立项审批、预算审批、评标结果审批等。核实这些审批是否按照公司内部规定的流程进行，审批人是否具备相应的权限，签名是否真实有效。","对参与招标过程的所有员工进行单独访谈，包括招标项目负责人、采购人员、评标委员会成员等。询问他们在招标过程中的具体职责、工作流程和遇到的问题。
与参与投标的供应商进行沟通，了解他们在投标过程中的经历。询问他们对招标程序公正性的看法，是否发现任何异常情况，如是否收到内部员工的暗示或不正当要求。"
125,业务操作类,其他失范行为,员工或亲属信息申报不实,,违规行为,中/较低/低,个人异常行为事项报送及签署授权书,"1.内部数据比对：将员工申报的信息与行内其他系统的数据进行比对。例如，将员工申报的亲属姓名与公司的人力资源管理系统中的紧急联系人信息、保险受益人的信息进行核对。如果发现差异，可能存在申报不实的情况。
2.外部信息核实：利用外部数据库和渠道验证申报信息。对于员工申报的亲属投资企业情况，可以通过国家企业信用信息公示系统查询企业的股东信息、高管名单等，核实员工或其亲属是否如实申报股权和任职情况。",当发现有信息申报不实的嫌疑时，启动正式的调查核实程序。由独立的调查小组负责调查，通过与员工面谈、收集更多证据（如银行流水、合同文件等）等方式，核实员工行为的合理性。
